Id. de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardíaco máx.,Esfuerzo relativo,Viaje al trabajo,Nota privada de actividad,Equipamiento de la actividad,Nombre de archivo,Peso del atleta,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Grado máximo,Pendiente promedio,Grado positivo promedio,Grado negativo promedio,Cadencia máx.,Cadencia promedio,Ritmo cardíaco máx.,Ritmo cardíaco promedio,Máx. de vatios,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo relativo,Esfuerzo total,Cantidad de carreras,Tiempo de ascenso,Tiempo de descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Conteo de potencia,Usar Esfuerzo Percibido,Esfuerzo relativo percibido,Viaje al trabajo,Peso total levantado,De carga,Distancia ajustada en pendientes,Tiempo de observación del clima,Condición climática,Temperatura,Sensación térmica,Punto de rocío,Humedad,Presión atmosférica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de la precipitación,Hora de salida del sol,Hora de puesta del sol,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad,Índice UV,Estado del ozono,Recuento de saltos,Complejidad total,Fluidez promedio,Marcado,Velocidad promedio durante el tiempo transcurrido,Distancia sobre tierra,Distancia recién recorrida,Distancia recién recorrida en caminos sin asfaltar,Número de actividades,Pasos en total,Emisión de carbono evitada,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo del cronómetro,Ciclos en total,Recuperación,Con mascota,Competencia,Carrera larga,Por una causa,Con niño,Distancia de descenso,Multimedia
3970872862,"26 ago 2020, 10:38:41 p.m.",Evening Walk,Caminata,,2276,2.11,,,false,,,activities/4250565672.gpx.gz,,,2276.0,1441.0,2109.6,2.7,1.464,24.0,57.0,20.0,59.0,29.9,-1.6,,,,,,,,,275.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3986455238,"30 ago 2020, 12:53:59 p.m.",Morning Ride,Vuelta ciclista,,1377,6.64,,,false,,,activities/4267266242.gpx.gz,,,1377.0,1277.0,6641.0,11.3,5.2,19.2,14.1,15.5,24.1,13.0,0.1,,,,,,,,80.0,114.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3987537920,"30 ago 2020, 1:59:17 p.m.",Morning Ride,Vuelta ciclista,,3754,17.96,,,false,,,activities/4268416728.gpx.gz,,,3754.0,3728.0,17963.0,9.7,4.818,49.0,44.0,9.0,27.0,42.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3989418643,"31 ago 2020, 12:14:07 a.m.",Night Hike,Senderismo,,4165,0,,,false,,,activities/4270439002.tcx.gz,,,4165.0,4165.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3998376702,"1 sept 2020, 9:25:28 p.m.",Evening Walk,Caminata,,2964,4.40,,,false,,,activities/4280005764.gpx.gz,,,2964.0,2752.0,4403.5,7.1,1.6,66.0,55.0,17.0,44.0,43.5,0.2,,,,,,,,,574.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4006438030,"3 sept 2020, 4:39:37 p.m.",Afternoon Walk,Caminata,,816,0.97,,,false,,,activities/4288575444.gpx.gz,,,816.0,816.0,970.1,2.2,1.189,13.0,34.0,1.0,33.0,20.0,-2.2,,,,,,,,,126.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4008193458,"3 sept 2020, 11:08:10 p.m.",Evening Walk,Caminata,,5378,1.26,,,false,,,activities/4290417812.gpx.gz,,,5378.0,1814.0,1268.1,7.4,0.699,61.0,84.0,-3.0,52.0,49.5,-1.8,,,,,,,,,165.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4017549979,"5 sept 2020, 8:51:48 p.m.",Afternoon Ride,Vuelta ciclista,,4182,23.19,,,false,,,activities/4300056408.gpx.gz,,,4182.0,4061.0,23192.1,10.1,5.711,63.0,37.0,-7.0,28.0,18.5,0.1,,,,,,,,86.0,392.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4021165264,"6 sept 2020, 1:09:40 p.m.",Morning Ride,Vuelta ciclista,,5598,30.20,,,false,,,activities/4303903420.gpx.gz,,,5598.0,5504.0,30206.4,10.4,5.488,82.0,151.0,15.0,93.0,37.7,-0.2,,,,,,,,78.0,477.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4032271652,"8 sept 2020, 9:04:37 p.m.",Evening Walk,Caminata,,6471,7.62,132.0,16,false,,,activities/4315697546.gpx.gz,,,6471.0,5048.0,7620.6,3.0,1.51,78.0,89.0,16.0,45.0,27.8,-0.1,,,,,,112.0,,,993.0,,,16.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
